================================================================================
动销品管理记录 - 2025-11-27
表名: ROA1_DE
记录时间: 2026-01-14 13:50:16
================================================================================

【统计信息】
日期：2025-11-27
前一天上升期：38个
计算上升期：42个（前一天上升期 + 新增上升期 + 更新为上升期 + 由非上升期重回上升期 - 由上升期到非上升期）
实际上升期：42个（选定日期Status=1的数量）
差值：0个
非上升期：234个
新增上升期：5个
新增非上升期：0个
更新为上升期：0个
由非上升期重回上升期：9个
！！！由上升期到非上升期：10个

【新增上升期商品ID】
商品数量: 5个
goods_id: 603376783825817, 603890032436844, 604058073069915, 604339930240592, 604350869000367

【由非上升期重回上升期商品ID】
商品数量: 9个
goods_id: 603397184941145, 603409533008324, 603457314465942, 603781584510946, 604048946244037, 604059683621847, 604113370727799, 604171352784549, 604271747643707

【！！！由上升期到非上升期商品ID】
商品数量: 10个
goods_id: 603317728066711, 603379468177370, 603399332404501, 603615154549300, 603753130387427, 603821849817640, 603834734717812, 604015123389473, 604240072264537, 604347446476371

【上升期商品】
商品数量: 42个

604227187360348 - 加入时间: 2025-11-09, Reason: None
604234166725033 - 加入时间: 2025-11-08, Reason: Secondary_traffic_restricted (Agree)
604237924764034 - 加入时间: 2025-11-04, Reason: None
604240072264537 - 加入时间: 2025-11-22, Reason: None
604240072274900 - 加入时间: 2025-11-23, Reason: None
604240609120158 - 加入时间: 2025-12-15, Reason: None
604240609162233 - 加入时间: 2026-01-08, Reason: None
604248662198873 - 加入时间: 2025-11-11, Reason: Secondary_traffic_restricted (Agree)
604261547134714 - 加入时间: 2025-11-04, Reason: None
604271210762561 - 加入时间: 2026-01-03, Reason: None
604274432012005 - 加入时间: 2025-11-12, Reason: None
604277116362932 - 加入时间: 2025-11-07, Reason: None
604285169426646 - 加入时间: 2025-12-27, Reason: None
604319529155325 - 加入时间: 2025-11-10, Reason: None
604320602907605 - 加入时间: 2025-11-07, Reason: None
604325971638522 - 加入时间: 2025-11-12, Reason: None
604329394155064 - 加入时间: 2025-11-10, Reason: None
604330266614720 - 加入时间: 2025-11-15, Reason: None
604332950931898 - 加入时间: 2025-11-21, Reason: None
604343688345438 - 加入时间: 2025-11-19, Reason: None
604347446476371 - 加入时间: 2025-11-24, Reason: None
604360868207830 - 加入时间: 2026-01-01, Reason: None
604362478849827 - 加入时间: 2026-01-06, Reason: None
604364626349372 - 加入时间: 2025-11-16, Reason: None
604366773803030 - 加入时间: 2025-10-30, Reason: None
604367310677238 - 加入时间: 2025-12-13, Reason: None
604367310681100 - 加入时间: 2025-11-01, Reason: None
604373216294439 - 加入时间: 2025-10-28, Reason: None
604375900646885 - 加入时间: 2025-11-12, Reason: None
604390396111003 - 加入时间: 2025-12-31, Reason: None

================================================================================
