================================================================================
动销品管理记录 - 2026-01-14
表名: ROA1_DE
记录时间: 2026-01-15 20:01:39
================================================================================

【统计信息】
日期：2026-01-14
前一天上升期：1个
计算上升期：2个（前一天上升期 + 新增上升期 + 更新为上升期 + 由非上升期重回上升期 - 由上升期到非上升期）
实际上升期：1个（选定日期Status=1的数量）
差值：1个
非上升期：226个
新增上升期：1个
新增非上升期：0个
更新为上升期：0个
由非上升期重回上升期：0个
！！！由上升期到非上升期：0个

【新增上升期商品ID】
商品数量: 1个
goods_id: 604251883428774

【上升期商品】
商品数量: 1个

603701053909808 - 加入时间: 2025-11-19, Reason: Out_of_stock
603703201379710 - 加入时间: 2025-11-24, Reason: Secondary_traffic_restricted
603710180713176 - 加入时间: 2025-11-22, Reason: Out_of_stock
603711791271324 - 加入时间: 2025-11-30, Reason: None
603718233722049 - 加入时间: 2025-10-26, Reason: Secondary_traffic_restricted
603724139343999 - 加入时间: 2025-12-10, Reason: Secondary_traffic_restricted
603724676211219 - 加入时间: 2025-12-09, Reason: Secondary_traffic_restricted
603738634815307 - 加入时间: 2026-01-12, Reason: None
603740245454312 - 加入时间: 2025-11-26, Reason: None
603744540423440 - 加入时间: 2025-11-25, Reason: None
603748835400497 - 加入时间: 2025-10-25, Reason: Out_of_stock
603754740958841 - 加入时间: 2025-10-31, Reason: Out_of_stock
603759035943080 - 加入时间: 2026-01-11, Reason: Out_of_stock
603761720294895 - 加入时间: 2025-12-25, Reason: None
603765478371352 - 加入时间: 2025-11-04, Reason: Out_of_stock
603765478405264 - 加入时间: 2025-11-02, Reason: None
603766015240976 - 加入时间: 2025-12-29, Reason: None
603774068304077 - 加入时间: 2025-11-13, Reason: Secondary_traffic_restricted
603776752653294 - 加入时间: 2025-12-07, Reason: Out_of_stock
603781584510946 - 加入时间: 2025-11-26, Reason: Secondary_traffic_restricted
603799838162105 - 加入时间: 2025-11-02, Reason: Secondary_traffic_restricted
603800375033754 - 加入时间: 2025-11-07, Reason: Out_of_stock
603801985636247 - 加入时间: 2025-11-21, Reason: Blocked
603818091720615 - 加入时间: 2025-12-04, Reason: None
603821849817640 - 加入时间: 2025-11-05, Reason: Secondary_traffic_restricted
603821849840110 - 加入时间: 2025-11-15, Reason: Secondary_traffic_restricted
603827755424577 - 加入时间: 2026-01-13, Reason: None
603832050416947 - 加入时间: 2025-10-26, Reason: Secondary_traffic_restricted
603840640341126 - 加入时间: 2025-11-28, Reason: Secondary_traffic_restricted
