================================================================================
动销品管理记录 - 2025-11-09
表名: ROA1_FR
记录时间: 2025-12-19 10:46:47
================================================================================

【统计信息】
日期：2025-11-09
前一天上升期：30个
计算上升期：33个（前一天上升期 + 新增上升期 + 更新为上升期 + 由非上升期重回上升期 - 由上升期到非上升期）
实际上升期：32个（选定日期Status=1的数量）
差值：1个
非上升期：94个
新增上升期：6个
新增非上升期：0个
更新为上升期：0个
由非上升期重回上升期：5个
！！！由上升期到非上升期：8个

【新增上升期商品ID】
商品数量: 6个
goods_id: 603528718302167, 603737561118299, 603826144811342, 604090822176179, 604252084791138, 604287853808360

【由非上升期重回上升期商品ID】
商品数量: 5个
goods_id: 603418391343943, 603839566603049, 604181553361271, 604244367222542, 604376974334612

【！！！由上升期到非上升期商品ID】
商品数量: 8个
goods_id: 603459461950163, 603460535720673, 603588311003574, 603649514279178, 604066662992813, 604107465146953, 604168131599498, 604196585701718

【上升期商品】
商品数量: 32个

603908822947976 - 加入时间: 2025-11-28, Reason: None
603921707807135 - 加入时间: 2025-10-02, Reason: None
603924929028446 - 加入时间: 2025-10-19, Reason: None
603926539638802 - 加入时间: 2025-12-05, Reason: None
603960899398102 - 加入时间: 2025-10-30, Reason: None
603967878718093 - 加入时间: 2025-12-04, Reason: None
603968147146093 - 加入时间: 2025-10-10, Reason: None
603971099954365 - 加入时间: 2025-11-21, Reason: None
603972710538783 - 加入时间: 2025-11-19, Reason: None
603974321163920 - 加入时间: 2025-11-09, Reason: None
604003849051640 - 加入时间: 2025-11-28, Reason: None
604012439032178 - 加入时间: 2025-10-21, Reason: None
604015123340628 - 加入时间: 2025-12-13, Reason: None
604020492049401 - 加入时间: 2025-10-15, Reason: None
604066662992813 - 加入时间: 2025-11-07, Reason: None
604081695352042 - 加入时间: 2025-12-01, Reason: None
604096190844596 - 加入时间: 2025-10-23, Reason: None
604107465146953 - 加入时间: 2025-11-08, Reason: None
604160615414220 - 加入时间: 2025-10-29, Reason: None
604168131599498 - 加入时间: 2025-11-08, Reason: None
604169205286264 - 加入时间: 2025-10-23, Reason: None
604185311464262 - 加入时间: 2025-12-03, Reason: None
604185848308297 - 加入时间: 2025-10-20, Reason: None
604186922049056 - 加入时间: 2025-10-18, Reason: None
604191753914304 - 加入时间: 2025-12-17, Reason: None
604194438219378 - 加入时间: 2025-10-12, Reason: None
604196585701718 - 加入时间: 2025-10-25, Reason: None
604248662223803 - 加入时间: 2025-11-04, Reason: None
604257788988741 - 加入时间: 2025-12-02, Reason: None
604272284556593 - 加入时间: 2025-10-29, Reason: None
604286444531879 - 加入时间: 2025-11-27, Reason: None
604295906869250 - 加入时间: 2025-11-28, Reason: None
604299664916995 - 加入时间: 2025-10-06, Reason: None
604330803489759 - 加入时间: 2025-11-30, Reason: None
604386101159419 - 加入时间: 2025-12-14, Reason: None

【计算上升期中有但实际上升期中没有的商品ID】
商品数量: 1个
goods_id: 603587237261455

================================================================================
