================================================================================
动销品管理记录 - 2025-11-27
表名: ROA1_CZ
记录时间: 2026-01-14 13:52:21
================================================================================

【统计信息】
日期：2025-11-27
前一天上升期：10个
计算上升期：8个（前一天上升期 + 新增上升期 + 更新为上升期 + 由非上升期重回上升期 - 由上升期到非上升期）
实际上升期：0个（选定日期Status=1的数量）
差值：8个
非上升期：155个
新增上升期：0个
新增非上升期：0个
更新为上升期：0个
由非上升期重回上升期：0个
！！！由上升期到非上升期：2个

【！！！由上升期到非上升期商品ID】
商品数量: 2个
goods_id: 603445503343547, 603546971944866

【非上升期商品】
商品数量: 155个

604037336407073 - 加入时间: 2025-12-03, Reason: None
604042503794664 - 加入时间: 2025-11-18, Reason: None
604045188124388 - 加入时间: 2025-11-17, Reason: None
604045725015177 - 加入时间: 2025-11-22, Reason: None
604045926319063 - 加入时间: 2025-11-23, Reason: None
604051630599479 - 加入时间: 2025-12-05, Reason: None
604055388675238 - 加入时间: 2025-12-06, Reason: None
604072568564609 - 加入时间: 2025-11-24, Reason: None
604080286105008 - 加入时间: 2026-01-07, Reason: None
604091895913200 - 加入时间: 2026-01-06, Reason: None
604109612646107 - 加入时间: 2025-12-04, Reason: None
604113370738746 - 加入时间: 2025-11-14, Reason: None
604119813164850 - 加入时间: 2025-11-10, Reason: None
604119813220328 - 加入时间: 2026-01-04, Reason: None
604127329405772 - 加入时间: 2025-11-12, Reason: None
604130550579766 - 加入时间: 2025-12-08, Reason: None
604131624355392 - 加入时间: 2025-12-27, Reason: None
604131825652721 - 加入时间: 2025-12-18, Reason: None
604154709799312 - 加入时间: 2026-01-02, Reason: None
604160615384890 - 加入时间: 2025-12-04, Reason: None
604175647796495 - 加入时间: 2025-12-10, Reason: None
604176721505706 - 加入时间: 2025-11-23, Reason: None
604184237691943 - 加入时间: 2025-11-14, Reason: None
604184237712843 - 加入时间: 2025-11-25, Reason: None
604192827663747 - 加入时间: 2025-12-22, Reason: None
604195511999802 - 加入时间: 2025-12-30, Reason: None
604227187361374 - 加入时间: 2025-11-20, Reason: None
604234703550948 - 加入时间: 2025-12-14, Reason: None
604234904895797 - 加入时间: 2025-11-21, Reason: None
604238461665330 - 加入时间: 2025-12-16, Reason: None
604242756610696 - 加入时间: 2025-11-18, Reason: None
604245440967874 - 加入时间: 2025-11-05, Reason: None
604274431988712 - 加入时间: 2026-01-01, Reason: None
604279800749404 - 加入时间: 2025-11-23, Reason: None
604287316914000 - 加入时间: 2025-12-06, Reason: None
604292148772248 - 加入时间: 2025-11-16, Reason: None
604294296234751 - 加入时间: 2026-01-01, Reason: None
604302886187712 - 加入时间: 2025-11-15, Reason: None
604306644238930 - 加入时间: 2025-11-18, Reason: None
604315771108855 - 加入时间: 2025-11-10, Reason: None
604323824127780 - 加入时间: 2025-10-06, Reason: None
604336709011772 - 加入时间: 2025-11-26, Reason: None
604336709056819 - 加入时间: 2025-11-24, Reason: None
604341540876855 - 加入时间: 2025-12-02, Reason: None
604343151511167 - 加入时间: 2025-11-24, Reason: None
604353888935741 - 加入时间: 2025-12-14, Reason: None
604354425786435 - 加入时间: 2025-11-24, Reason: None
604356036381140 - 加入时间: 2025-11-14, Reason: None

【计算上升期中有但实际上升期中没有的商品ID】
商品数量: 8个
goods_id: 603681726507653, 603453220844366, 604127329405772, 604336709011772, 604343151511167, 603443355832103, 603432618433252, 604279800749404

================================================================================
