================================================================================
动销品管理记录 - 2025-11-06
表名: ROA1_FR
记录时间: 2025-12-18 21:20:38
================================================================================

【统计信息】
日期：2025-11-06
上升期：21个
非上升期：83个
新增上升期：0个
新增非上升期：0个
更新为上升期：4个
由非上升期重回上升期：1个
！！！由上升期到非上升期：0个

【上升期商品】
商品数量: 21个

603326318000762 - 加入时间: 2025-11-03, Reason: Secondary_traffic_restricted
603379468218204 - 加入时间: 2025-11-06, Reason: Secondary_traffic_restricted
603418391343943 - 加入时间: 2025-11-06, Reason: None
603460535720673 - 加入时间: 2025-11-04, Reason: Secondary_traffic_restricted
603514222811762 - 加入时间: 2025-11-16, Reason: None
603593679695418 - 加入时间: 2025-11-04, Reason: Secondary_traffic_restricted
603636092482087 - 加入时间: 2025-11-11, Reason: None
603649514279178 - 加入时间: 2025-11-08, Reason: Secondary_traffic_restricted
603724676178475 - 加入时间: 2025-11-16, Reason: Secondary_traffic_restricted
603725213087312 - 加入时间: 2025-11-11, Reason: Out_of_stock
603741856069157 - 加入时间: 2025-11-06, Reason: Secondary_traffic_restricted
603788563854650 - 加入时间: 2025-11-01, Reason: Secondary_traffic_restricted
603839566603049 - 加入时间: 2025-11-09, Reason: None
603958215022335 - 加入时间: 2025-11-05, Reason: Out_of_stock
604039819425299 - 加入时间: 2025-11-16, Reason: Secondary_traffic_restricted
604196585701718 - 加入时间: 2025-11-02, Reason: Secondary_traffic_restricted
604244367222542 - 加入时间: 2025-11-09, Reason: Out_of_stock
604248662223803 - 加入时间: 2025-11-04, Reason: Secondary_traffic_restricted
604272284556593 - 加入时间: 2025-11-06, Reason: Secondary_traffic_restricted
604349593941184 - 加入时间: 2025-11-22, Reason: Out_of_stock
604360868229680 - 加入时间: 2025-11-22, Reason: Secondary_traffic_restricted

【非上升期商品】
商品数量: 83个

603330076096248 - 加入时间: 2025-12-04, Reason: None
603340276600578 - 加入时间: 2025-11-01, Reason: None
603347255981378 - 加入时间: 2025-10-07, Reason: None
603372488874806 - 加入时间: 2025-12-06, Reason: None
603374099484524 - 加入时间: 2025-10-10, Reason: None
603378931336593 - 加入时间: 2025-12-03, Reason: None
603389131911086 - 加入时间: 2025-10-14, Reason: None
603413827926377 - 加入时间: 2025-12-08, Reason: None
603415438528852 - 加入时间: 2025-12-03, Reason: None
603417049161701 - 加入时间: 2025-11-30, Reason: None
603418861112625 - 加入时间: 2025-12-10, Reason: None
603428323486093 - 加入时间: 2025-12-09, Reason: None
603433155280918 - 加入时间: 2025-11-22, Reason: None
603439597744212 - 加入时间: 2025-11-18, Reason: None
603459461991420 - 加入时间: 2025-11-27, Reason: None
603466978154121 - 加入时间: 2025-12-04, Reason: None
603504559124986 - 加入时间: 2025-12-01, Reason: None
603523886455184 - 加入时间: 2025-11-10, Reason: None
603559856814089 - 加入时间: 2025-12-01, Reason: None
603559856854534 - 加入时间: 2025-12-12, Reason: None
603561467462356 - 加入时间: 2025-12-06, Reason: None
603568983650530 - 加入时间: 2025-11-30, Reason: None
603578647329891 - 加入时间: 2025-12-05, Reason: None
603604954007030 - 加入时间: 2025-12-09, Reason: None
603607369934273 - 加入时间: 2025-10-21, Reason: None
603621596958913 - 加入时间: 2025-12-05, Reason: None
603625019557210 - 加入时间: 2025-11-30, Reason: None
603635018785356 - 加入时间: 2025-12-04, Reason: None
603635555641004 - 加入时间: 2025-12-05, Reason: None
603664546651681 - 加入时间: 2025-10-27, Reason: None
603666694163632 - 加入时间: 2025-12-07, Reason: None
603669378515544 - 加入时间: 2025-10-16, Reason: None
603677431530137 - 加入时间: 2025-10-21, Reason: None
603688705867107 - 加入时间: 2025-11-27, Reason: None
603693269278525 - 加入时间: 2025-10-29, Reason: None
603715549393446 - 加入时间: 2025-10-01, Reason: None
603718770615507 - 加入时间: 2025-11-05, Reason: None
603720381250504 - 加入时间: 2025-10-29, Reason: None
603726286796911 - 加入时间: 2025-10-29, Reason: None
603769236470667 - 加入时间: 2025-10-07, Reason: None
603796080060064 - 加入时间: 2025-10-17, Reason: None
603797690616473 - 加入时间: 2025-11-29, Reason: None
603798227523550 - 加入时间: 2025-11-02, Reason: None
603810038655291 - 加入时间: 2025-10-10, Reason: None
603819165514994 - 加入时间: 2025-12-11, Reason: None
603826144815871 - 加入时间: 2025-11-20, Reason: None
603830708197698 - 加入时间: 2025-10-14, Reason: None
603832050387405 - 加入时间: 2025-10-30, Reason: None
603843324676669 - 加入时间: 2025-10-18, Reason: None
603856209563238 - 加入时间: 2025-12-07, Reason: None
603866410126687 - 加入时间: 2025-12-07, Reason: None
603908822947976 - 加入时间: 2025-11-30, Reason: None
603921707807135 - 加入时间: 2025-10-05, Reason: None
603924929028446 - 加入时间: 2025-10-22, Reason: None
603926539638802 - 加入时间: 2025-12-05, Reason: None
603948551362845 - 加入时间: 2025-11-07, Reason: None
603960899398102 - 加入时间: 2025-10-30, Reason: None
603967878718093 - 加入时间: 2025-12-05, Reason: None
603968147146093 - 加入时间: 2025-10-17, Reason: None
603971099954365 - 加入时间: 2025-11-23, Reason: None
603972710538783 - 加入时间: 2025-11-21, Reason: None
604012439032178 - 加入时间: 2025-10-23, Reason: None
604015123340628 - 加入时间: 2025-12-13, Reason: None
604020492049401 - 加入时间: 2025-10-15, Reason: None
604053241168853 - 加入时间: 2025-11-02, Reason: None
604096190844596 - 加入时间: 2025-10-23, Reason: None
604160615414220 - 加入时间: 2025-10-29, Reason: None
604169205286264 - 加入时间: 2025-10-23, Reason: None
604181553361271 - 加入时间: 2025-11-02, Reason: None
604185311464262 - 加入时间: 2025-12-03, Reason: None
604185848308297 - 加入时间: 2025-10-20, Reason: None
604186922049056 - 加入时间: 2025-10-18, Reason: None
604194438219378 - 加入时间: 2025-10-18, Reason: None
604252420329023 - 加入时间: 2025-12-13, Reason: None
604257788988741 - 加入时间: 2025-12-04, Reason: None
604267989554757 - 加入时间: 2025-12-05, Reason: None
