================================================================================
动销品管理记录 - 2025-12-17
表名: ROA1_NL
记录时间: 2025-12-18 20:38:16
================================================================================

【统计信息】
日期：2025-12-17
上升期：2个
非上升期：228个
新增上升期：0个
新增非上升期：0个
更新为上升期：2个
由非上升期重回上升期：0个
！！！由上升期到非上升期：0个

【上升期商品】
商品数量: 2个

603567373044814 - 加入时间: 2025-12-17, Reason: None
604153636028486 - 加入时间: 2025-12-17, Reason: None

【非上升期商品】
商品数量: 228个

603299474452993 - 加入时间: 2025-11-23, Reason: None
603302158825258 - 加入时间: 2025-11-29, Reason: Secondary_traffic_restricted
603303769385858 - 加入时间: 2025-10-12, Reason: None
603306453746243 - 加入时间: 2025-10-10, Reason: Secondary_traffic_restricted
603309675002603 - 加入时间: 2025-10-23, Reason: Secondary_traffic_restricted
603314825621421 - 加入时间: 2025-12-03, Reason: None
603320949244944 - 加入时间: 2025-11-05, Reason: Out_of_stock
603323096737810 - 加入时间: 2025-11-20, Reason: Out_of_stock
603327391736966 - 加入时间: 2025-10-24, Reason: None
603327928570227 - 加入时间: 2025-10-21, Reason: None
603330076113833 - 加入时间: 2025-10-29, Reason: Secondary_traffic_restricted
603335981666369 - 加入时间: 2025-12-07, Reason: Secondary_traffic_restricted
603338129166812 - 加入时间: 2025-12-05, Reason: Secondary_traffic_restricted
603340276620580 - 加入时间: 2025-11-20, Reason: None
603340813496861 - 加入时间: 2025-10-15, Reason: Secondary_traffic_restricted
603346719069137 - 加入时间: 2025-12-04, Reason: Secondary_traffic_restricted
603375173248923 - 加入时间: 2025-11-26, Reason: Secondary_traffic_restricted
603378931325509 - 加入时间: 2025-10-20, Reason: Secondary_traffic_restricted
603383226310644 - 加入时间: 2025-10-15, Reason: Secondary_traffic_restricted
603383763203880 - 加入时间: 2025-10-27, Reason: Secondary_traffic_restricted
603385373757332 - 加入时间: 2025-10-26, Reason: Out_of_stock
603389131904170 - 加入时间: 2025-10-10, Reason: Secondary_traffic_restricted
603389668752686 - 加入时间: 2025-11-07, Reason: Secondary_traffic_restricted
603398258661005 - 加入时间: 2025-12-03, Reason: Secondary_traffic_restricted
603413291073695 - 加入时间: 2025-11-07, Reason: Out_of_stock
603413291103358 - 加入时间: 2025-11-18, Reason: None
603415975396742 - 加入时间: 2025-11-12, Reason: Secondary_traffic_restricted
603415975459248 - 加入时间: 2025-10-19, Reason: Secondary_traffic_restricted
603421880996094 - 加入时间: 2025-11-25, Reason: None
603433155298084 - 加入时间: 2025-10-31, Reason: Secondary_traffic_restricted
603436913399548 - 加入时间: 2025-11-19, Reason: None
603439060876765 - 加入时间: 2025-11-28, Reason: Out_of_stock
603439597768831 - 加入时间: 2025-11-03, Reason: Secondary_traffic_restricted
603452482632819 - 加入时间: 2025-11-19, Reason: Out_of_stock
603456240738948 - 加入时间: 2025-10-25, Reason: Out_of_stock
603461072610014 - 加入时间: 2025-10-07, Reason: Secondary_traffic_restricted
603463220074828 - 加入时间: 2025-11-08, Reason: Secondary_traffic_restricted
603465367538502 - 加入时间: 2025-10-15, Reason: Out_of_stock
603465367547615 - 加入时间: 2025-10-08, Reason: Out_of_stock
603465367570177 - 加入时间: 2025-11-01, Reason: None
