================================================================================
动销品管理记录 - 2025-11-10
表名: ROA1_FR
记录时间: 2025-12-19 10:46:57
================================================================================

【统计信息】
日期：2025-11-10
前一天上升期：32个
计算上升期：17个（前一天上升期 + 新增上升期 + 更新为上升期 + 由非上升期重回上升期 - 由上升期到非上升期）
实际上升期：17个（选定日期Status=1的数量）
差值：0个
非上升期：121个
新增上升期：1个
新增非上升期：0个
更新为上升期：0个
由非上升期重回上升期：0个
！！！由上升期到非上升期：16个

【新增上升期商品ID】
商品数量: 1个
goods_id: 603523886455184

【！！！由上升期到非上升期商品ID】
商品数量: 16个
goods_id: 603304843140287, 603326318000762, 603379468218204, 603418391343943, 603528718302167, 603636092482087, 603725213087312, 603741856069157, 603826144811342, 603839566603049, 604181553361271, 604252084791138, 604342614646731, 604349593941184, 604369458154449, 604376974334612

【上升期商品】
商品数量: 17个

603881979390112 - 加入时间: 2025-12-08, Reason: None
603907212299642 - 加入时间: 2025-11-29, Reason: None
603908822947976 - 加入时间: 2025-11-28, Reason: None
603921707807135 - 加入时间: 2025-10-02, Reason: None
603924929028446 - 加入时间: 2025-10-19, Reason: None
603926539638802 - 加入时间: 2025-12-05, Reason: None
603960899398102 - 加入时间: 2025-10-30, Reason: None
603967878718093 - 加入时间: 2025-12-04, Reason: None
603968147146093 - 加入时间: 2025-10-10, Reason: None
603971099954365 - 加入时间: 2025-11-21, Reason: None
603974321163920 - 加入时间: 2025-11-09, Reason: None
604003849051640 - 加入时间: 2025-11-28, Reason: None
604012439032178 - 加入时间: 2025-10-21, Reason: None
604015123340628 - 加入时间: 2025-12-13, Reason: None
604020492049401 - 加入时间: 2025-10-15, Reason: None
604033913861925 - 加入时间: 2025-12-05, Reason: None
604066662992813 - 加入时间: 2025-11-07, Reason: None
604081695352042 - 加入时间: 2025-12-01, Reason: None
604096190844596 - 加入时间: 2025-10-23, Reason: None
604100485863043 - 加入时间: 2025-12-16, Reason: None
604107465146953 - 加入时间: 2025-11-08, Reason: None
604160615414220 - 加入时间: 2025-10-29, Reason: None
604168131599498 - 加入时间: 2025-11-08, Reason: None
604169205286264 - 加入时间: 2025-10-23, Reason: None
604181553361271 - 加入时间: 2025-10-26, Reason: None
604185311464262 - 加入时间: 2025-12-03, Reason: None
604185848308297 - 加入时间: 2025-10-20, Reason: None
604186922049056 - 加入时间: 2025-10-18, Reason: None
604191753914304 - 加入时间: 2025-12-17, Reason: None
