================================================================================
动销品管理记录 - 2025-12-19
表名: ROA1_IT
记录时间: 2026-01-13 16:50:30
================================================================================

【统计信息】
日期：2025-12-19
前一天上升期：21个
计算上升期：21个（前一天上升期 + 新增上升期 + 更新为上升期 + 由非上升期重回上升期 - 由上升期到非上升期）
实际上升期：21个（选定日期Status=1的数量）
差值：0个
非上升期：605个
新增上升期：1个
新增非上升期：0个
更新为上升期：0个
由非上升期重回上升期：4个
！！！由上升期到非上升期：5个

【新增上升期商品ID】
商品数量: 1个
goods_id: 603340813518315

【由非上升期重回上升期商品ID】
商品数量: 4个
goods_id: 603372270760802, 603505095979799, 603640387440388, 603889495573287

【！！！由上升期到非上升期商品ID】
商品数量: 5个
goods_id: 603617838903271, 603728434306468, 603798227500003, 603971636823743, 604256715296309

【上升期商品】
商品数量: 21个

603376783829994 - 加入时间: 2025-12-01, Reason: Out_of_stock
603379468177711 - 加入时间: 2025-11-11, Reason: Out_of_stock
603381615696300 - 加入时间: 2025-10-30, Reason: Secondary_traffic_restricted
603381615697112 - 加入时间: 2025-11-01, Reason: Secondary_traffic_restricted
603382689452298 - 加入时间: 2025-10-22, Reason: Secondary_traffic_restricted
603383226315908 - 加入时间: 2025-12-26, Reason: None
603385373804409 - 加入时间: 2025-12-12, Reason: Secondary_traffic_restricted
603385910638205 - 加入时间: 2025-10-23, Reason: Secondary_traffic_restricted
603386447529817 - 加入时间: 2025-12-15, Reason: Secondary_traffic_restricted
603386984399770 - 加入时间: 2025-10-01, Reason: Out_of_stock
603387521252406 - 加入时间: 2025-12-07, Reason: Secondary_traffic_restricted
603387521257174 - 加入时间: 2025-11-22, Reason: Secondary_traffic_restricted
603390205639228 - 加入时间: 2025-10-18, Reason: Secondary_traffic_restricted
603390742468534 - 加入时间: 2025-12-30, Reason: None
603391279362930 - 加入时间: 2025-12-08, Reason: None
603393426868123 - 加入时间: 2025-10-26, Reason: None
603393963723450 - 加入时间: 2025-11-23, Reason: None
603396111217266 - 加入时间: 2025-11-11, Reason: Out_of_stock
603398258667021 - 加入时间: 2025-11-23, Reason: Secondary_traffic_restricted
603398795550130 - 加入时间: 2025-11-27, Reason: Out_of_stock
603404701128133 - 加入时间: 2025-10-16, Reason: Secondary_traffic_restricted
603406848595342 - 加入时间: 2026-01-06, Reason: None
603408459234590 - 加入时间: 2025-11-22, Reason: Secondary_traffic_restricted
603421881028933 - 加入时间: 2025-11-12, Reason: None
603422417860766 - 加入时间: 2025-10-21, Reason: Secondary_traffic_restricted
603422417896113 - 加入时间: 2025-10-23, Reason: None
603423491642077 - 加入时间: 2025-11-11, Reason: None
603424028484586 - 加入时间: 2025-10-24, Reason: Secondary_traffic_restricted
603424565358715 - 加入时间: 2025-11-18, Reason: Secondary_traffic_restricted
603426712820320 - 加入时间: 2025-10-23, Reason: Secondary_traffic_restricted
603433155309147 - 加入时间: 2025-12-03, Reason: Secondary_traffic_restricted
603438523993022 - 加入时间: 2025-11-07, Reason: None
603441208328489 - 加入时间: 2025-11-29, Reason: Secondary_traffic_restricted
603441745253952 - 加入时间: 2025-11-29, Reason: Secondary_traffic_restricted
603442818998272 - 加入时间: 2025-10-23, Reason: Secondary_traffic_restricted
603443355812741 - 加入时间: 2025-11-17, Reason: Secondary_traffic_restricted
603443892704606 - 加入时间: 2025-12-08, Reason: Secondary_traffic_restricted
603447650799402 - 加入时间: 2025-11-09, Reason: Secondary_traffic_restricted
603449261457067 - 加入时间: 2025-11-21, Reason: Secondary_traffic_restricted
603451945793676 - 加入时间: 2025-11-25, Reason: Secondary_traffic_restricted
603453019524579 - 加入时间: 2025-11-08, Reason: Secondary_traffic_restricted
603454093246280 - 加入时间: 2025-12-11, Reason: None
603455167020720 - 加入时间: 2025-12-04, Reason: None
603455167024122 - 加入时间: 2025-12-06, Reason: None
603456777646605 - 加入时间: 2025-11-06, Reason: None
603461072614119 - 加入时间: 2025-11-25, Reason: None
603464293797135 - 加入时间: 2026-01-04, Reason: None
603464830672115 - 加入时间: 2025-10-21, Reason: Secondary_traffic_restricted
603465367571102 - 加入时间: 2025-11-28, Reason: None
603466441265374 - 加入时间: 2025-11-25, Reason: Secondary_traffic_restricted
603467515019841 - 加入时间: 2025-10-26, Reason: Secondary_traffic_restricted
603471273126395 - 加入时间: 2025-11-02, Reason: None
603472883724856 - 加入时间: 2025-11-30, Reason: Secondary_traffic_restricted
603476104992407 - 加入时间: 2025-11-21, Reason: Out_of_stock
603486842379366 - 加入时间: 2025-12-15, Reason: None
603490063598249 - 加入时间: 2025-11-20, Reason: Secondary_traffic_restricted
603490600455667 - 加入时间: 2025-12-04, Reason: Secondary_traffic_restricted
603491137359261 - 加入时间: 2025-11-04, Reason: Secondary_traffic_restricted
603497042909440 - 加入时间: 2025-11-30, Reason: Out_of_stock
603501874745373 - 加入时间: 2025-10-19, Reason: Out_of_stock
603502948507213 - 加入时间: 2025-11-12, Reason: Secondary_traffic_restricted
603507243457583 - 加入时间: 2025-11-08, Reason: None
603507780330554 - 加入时间: 2026-01-04, Reason: None
603509927819865 - 加入时间: 2025-12-18, Reason: None
603511538474942 - 加入时间: 2025-12-09, Reason: Secondary_traffic_restricted
603514222778119 - 加入时间: 2025-11-20, Reason: Secondary_traffic_restricted
603514759673924 - 加入时间: 2025-10-30, Reason: None
603514759689020 - 加入时间: 2025-11-09, Reason: Secondary_traffic_restricted
603518517775546 - 加入时间: 2025-11-09, Reason: None
603518517799753 - 加入时间: 2025-12-17, Reason: None
603519054613293 - 加入时间: 2025-10-30, Reason: None
603519054666107 - 加入时间: 2025-11-08, Reason: Secondary_traffic_restricted
603520665281280 - 加入时间: 2025-11-10, Reason: Secondary_traffic_restricted
603521202099978 - 加入时间: 2025-10-30, Reason: Secondary_traffic_restricted
603523886451909 - 加入时间: 2025-11-19, Reason: Secondary_traffic_restricted
603527644550942 - 加入时间: 2025-12-19, Reason: None
603528181427850 - 加入时间: 2025-11-13, Reason: Secondary_traffic_restricted
603528718346385 - 加入时间: 2025-11-22, Reason: Secondary_traffic_restricted
603529792045879 - 加入时间: 2025-12-06, Reason: Secondary_traffic_restricted
603532476417592 - 加入时间: 2025-11-11, Reason: Secondary_traffic_restricted
603535160791359 - 加入时间: 2025-12-06, Reason: Secondary_traffic_restricted
603536771366139 - 加入时间: 2025-11-04, Reason: Secondary_traffic_restricted
603538381991574 - 加入时间: 2025-12-02, Reason: Secondary_traffic_restricted
603548045644215 - 加入时间: 2025-11-17, Reason: None
603548045702025 - 加入时间: 2025-11-19, Reason: Out_of_stock
603550730002008 - 加入时间: 2025-11-11, Reason: Secondary_traffic_restricted
603552340610275 - 加入时间: 2025-12-02, Reason: Secondary_traffic_restricted
603556098710344 - 加入时间: 2025-11-12, Reason: Secondary_traffic_restricted
603557172468998 - 加入时间: 2025-11-11, Reason: Out_of_stock
603557709332049 - 加入时间: 2025-12-18, Reason: None
603558783097263 - 加入时间: 2025-11-25, Reason: Secondary_traffic_restricted
603559319958700 - 加入时间: 2026-01-02, Reason: None
603560930579487 - 加入时间: 2025-11-26, Reason: Secondary_traffic_restricted
603563078044125 - 加入时间: 2025-11-11, Reason: Out_of_stock
603563614910904 - 加入时间: 2025-11-30, Reason: None
603565762391823 - 加入时间: 2025-11-04, Reason: Secondary_traffic_restricted
603572204892069 - 加入时间: 2025-11-06, Reason: None
603572741729044 - 加入时间: 2025-10-28, Reason: Secondary_traffic_restricted
603576499860980 - 加入时间: 2025-11-27, Reason: None
603578110458188 - 加入时间: 2025-10-25, Reason: None
603579184154307 - 加入时间: 2025-11-21, Reason: None
603581868572542 - 加入时间: 2025-11-27, Reason: None
603582069894275 - 加入时间: 2025-12-04, Reason: Secondary_traffic_restricted
603582405402852 - 加入时间: 2025-11-16, Reason: None
603583479136462 - 加入时间: 2025-12-14, Reason: None
603586364828080 - 加入时间: 2025-11-23, Reason: Secondary_traffic_restricted
603587237227987 - 加入时间: 2025-12-14, Reason: None
603587237238039 - 加入时间: 2025-11-26, Reason: Secondary_traffic_restricted
603587237258080 - 加入时间: 2025-11-04, Reason: Secondary_traffic_restricted
603592069119758 - 加入时间: 2025-11-13, Reason: Secondary_traffic_restricted
603593142805277 - 加入时间: 2025-12-08, Reason: None
