================================================================================
动销品管理记录 - 2026-01-11
表名: ROA1_PL
记录时间: 2026-01-19 01:44:38
================================================================================

【统计信息】
日期：2026-01-11
前一天上升期：0个
计算上升期：0个（前一天上升期 + 新增上升期 + 更新为上升期 + 由非上升期重回上升期 - 由上升期到非上升期）
实际上升期：0个（选定日期Status=1的数量）
差值：0个
非上升期：173个
新增上升期：0个
新增非上升期：0个
更新为上升期：0个
由非上升期重回上升期：0个
！！！由上升期到非上升期：0个

【非上升期商品】
商品数量: 171个

603875000033054 - 加入时间: 2025-10-27, Reason: Secondary_traffic_restricted
603877684390143 - 加入时间: 2025-12-12, Reason: Secondary_traffic_restricted
603892179956722 - 加入时间: 2025-11-13, Reason: Secondary_traffic_restricted
603909896679323 - 加入时间: 2025-10-05, Reason: Secondary_traffic_restricted
603910970380140 - 加入时间: 2025-12-10, Reason: Secondary_traffic_restricted
603911507265770 - 加入时间: 2025-12-10, Reason: None
603913654781949 - 加入时间: 2025-11-26, Reason: Secondary_traffic_restricted
603917949735561 - 加入时间: 2025-10-09, Reason: Secondary_traffic_restricted
603919560349506 - 加入时间: 2025-10-27, Reason: Secondary_traffic_restricted
603921707817707 - 加入时间: 2025-11-23, Reason: Out_of_stock
603930297780816 - 加入时间: 2025-11-11, Reason: Secondary_traffic_restricted
603933518956228 - 加入时间: 2025-11-24, Reason: None
603934592747961 - 加入时间: 2025-12-04, Reason: None
603938887679647 - 加入时间: 2025-11-13, Reason: Secondary_traffic_restricted
603939961456812 - 加入时间: 2025-10-23, Reason: Out_of_stock
603943719543314 - 加入时间: 2025-11-09, Reason: None
603944256430889 - 加入时间: 2025-10-26, Reason: Secondary_traffic_restricted
603949625095212 - 加入时间: 2025-10-18, Reason: Secondary_traffic_restricted
603952309491941 - 加入时间: 2025-11-06, Reason: Out_of_stock
603952309494556 - 加入时间: 2026-01-01, Reason: None
603962510021837 - 加入时间: 2025-12-07, Reason: Secondary_traffic_restricted
603965194339452 - 加入时间: 2025-12-26, Reason: None
603972710546917 - 加入时间: 2025-12-08, Reason: Secondary_traffic_restricted
